,Unnamed: 0,FOLDER,IN FILE,CHANNEL,CLIP LENGTH,SAMPLE RATE,OFFSET,DURATION,MANUAL ID,CONFIDENCE
0,0,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,0,60.0,44100,0.0,3.0,bird,1.0
1,1,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,0,60.0,44100,3.0,3.0,bird,0.9059339944272846
2,2,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190622_210000.WAV,0,60.0,44100,6.0,3.0,bird,0.9655576891014666
3,3,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,12.0,3.0000000000000018,bird,0.6031107278749521
4,4,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,15.000000000000002,2.9999999999999982,bird,1.0
5,5,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,18.0,3.0,bird,0.9817984924270046
6,6,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,21.0,3.0,bird,0.8044620150683406
7,7,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,30.000000000000004,3.000000000000004,bird,0.656084533253807
8,8,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,36.0,3.0,bird,0.7337636262838235
9,9,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,39.0,3.0,bird,0.7681125114912861
10,10,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,42.0,3.0,bird,0.9180183674611728
11,11,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,45.0,3.0,bird,0.260788846735785
12,12,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,48.0,3.0,bird,0.4683946141375594
13,13,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,51.0,3.000000000000007,bird,0.7662341261071245
14,14,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,54.00000000000001,2.999999999999993,bird,0.7938525614029859
15,15,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_124000.WAV,0,60.0,44100,57.0,2.999999999999993,bird,0.9095039317455936
16,16,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,6.0,3.0,bird,0.7700871179278391
17,17,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,36.0,3.0,bird,0.8920173912731281
18,18,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,39.0,3.0,bird,0.8024250486032948
19,19,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,45.0,3.0,bird,1.0
20,20,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190615_084000.WAV,0,60.0,44100,21.0,3.0,bird,0.4939583407371378
21,21,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190615_084000.WAV,0,60.0,44100,24.0,3.000000000000004,bird,0.6948921364228424
22,22,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190615_084000.WAV,0,60.0,44100,45.0,3.0,bird,0.8475359044790964
23,23,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190615_084000.WAV,0,60.0,44100,48.0,3.0,bird,1.0
24,24,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190615_084000.WAV,0,60.0,44100,51.0,3.000000000000007,bird,0.7351051034801122
25,25,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190617_110000.WAV,0,60.0,44100,12.0,3.0000000000000018,bird,1.0
26,26,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190617_110000.WAV,0,60.0,44100,15.000000000000002,2.9999999999999982,bird,0.3973165314499787
27,27,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,0.0,3.0,bird,0.7087570785262048
28,28,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,6.0,3.0,bird,0.3755597590353227
29,29,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,9.0,3.0,bird,0.9879686980774084
30,30,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,15.000000000000002,2.9999999999999982,bird,0.9372967557912114
31,31,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,18.0,3.0,bird,0.814378897391945
32,32,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,21.0,3.0,bird,0.8536171500350332
33,33,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,24.0,3.000000000000004,bird,0.4806827555846173
34,34,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,27.000000000000004,3.0,bird,0.8012236312413087
35,35,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,36.0,3.0,bird,0.4745632594402276
36,36,Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190626_202000.WAV,0,60.0,44100,39.0,3.0,bird,1.0
37,0,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,0.0,3.0,bird,0.3075320811095458
38,1,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,3.0,3.0,bird,0.6950602168770694
39,2,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,6.0,3.0,bird,0.9796776414124536
40,3,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,9.0,3.0,bird,0.6438252943120346
41,4,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,12.0,3.0000000000000018,bird,0.6705328984347712
42,5,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,15.000000000000002,2.9999999999999982,bird,0.9133965587437416
43,6,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,18.0,3.0,bird,0.5826608187871509
44,7,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,21.0,3.0,bird,0.3897162484546637
45,8,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,24.0,3.000000000000004,bird,0.3364774131822446
46,9,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,27.000000000000004,3.0,bird,0.6774353897179399
47,10,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,30.000000000000004,3.000000000000004,bird,0.289948378900884
48,11,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,33.00000000000001,2.999999999999993,bird,0.8022571760716997
49,12,Stratified_Random_Sample_Peru2019_Subset/AM11_samples/,20190612_115000.WAV,0,60.0,44100,36.0,3.0,bird,0.9237515559492347
